Draft Year,First Season,Draft Pick,Name,College,Team Drafted,Total,1st Year,2nd Year,3rd Year Option,MIN_S1,MIN_S2,PTS_S1,PTS_S2,AST_S1,AST_S2,REB_S1,REB_S2,STL_S1,STL_S2,FG3M_S1,FG3M_S2,FG3A_S1,FG3A_S2,FTM_S1,FTM_S2,FTA_S1,FTA_S2,FGM_S1,FGM_S2,FGA_S1,FGA_S2,cap_space_s1,cap_alloc_s1,cap_space_s2,cap_alloc_s2
2012,2012-2013,6,Damian Lillard,Weber State,POR,"$13,845,167 ","$3,065,040 ","$3,202,920 ","$3,340,920 ",3167.0,2937.0,1562.0,1695.0,531.0,457.0,257.0,288.0,74.0,64.0,185.0,218.0,503.0,554.0,271.0,371.0,321.0,426.0,553.0,553.0,1288.0,1304.0,-335149.0,58379149.0,-4020372.0,62699372.0
2012,2012-2013,7,Harrison Barnes,UNC,GSW,"$12,645,278 ","$2,798,040 ","$2,923,920 ","$3,049,920 ",2058.0,2204.0,748.0,738.0,98.0,116.0,333.0,311.0,52.0,65.0,52.0,66.0,145.0,190.0,144.0,130.0,190.0,181.0,276.0,271.0,628.0,679.0,-11668825.0,69712825.0,-12727068.0,71406068.0
2012,2012-2013,8,Terrence Ross,Washington,TOR,"$11,589,837 ","$2,563,320 ","$2,678,640 ","$2,793,960 ",1239.0,2159.0,467.0,879.0,53.0,79.0,144.0,252.0,43.0,64.0,65.0,161.0,196.0,408.0,30.0,82.0,42.0,98.0,186.0,318.0,457.0,751.0,-10037026.0,68081026.0,-9956923.0,68635923.0
2012,2012-2013,9,Andre Drummond,UConn,DET,"$10,659,171 ","$2,356,320 ","$2,462,400 ","$2,568,360 ",1243.0,2619.0,476.0,1095.0,30.0,35.0,457.0,1071.0,59.0,101.0,1.0,0.0,2.0,2.0,59.0,137.0,159.0,328.0,208.0,479.0,342.0,769.0,-10521736.0,68565736.0,-3218253.0,61897253.0
2012,2012-2013,10,Austin Rivers,Duke,NOH,"$10,128,036 ","$2,238,360 ","$2,339,040 ","$2,439,840 ",1418.0,1339.0,377.0,530.0,127.0,160.0,109.0,129.0,26.0,45.0,28.0,36.0,86.0,99.0,59.0,110.0,108.0,173.0,145.0,192.0,390.0,474.0,-5641125.0,63685125.0,,
2012,2012-2013,11,Meyers Leonard,Illinois,POR,"$9,742,480 ","$2,126,520 ","$2,222,160 ","$2,317,920 ",1206.0,355.0,377.0,98.0,33.0,18.0,255.0,111.0,11.0,7.0,3.0,0.0,7.0,6.0,72.0,16.0,89.0,21.0,151.0,41.0,277.0,91.0,-335149.0,58379149.0,-4020372.0,62699372.0
2012,2012-2013,12,Jeremy Lamb,UConn,HOU,"$9,367,716 ","$2,020,200 ","$2,111,160 ","$2,202,000 ",147.0,1538.0,71.0,665.0,5.0,115.0,18.0,189.0,2.0,56.0,9.0,88.0,30.0,247.0,14.0,51.0,14.0,64.0,24.0,263.0,68.0,609.0,2608562.0,55435438.0,-5198378.0,63877378.0
2012,2012-2013,13,Kendall Marshall,UNC,PHO,"$9,005,799 ","$1,919,160 ","$2,005,560 ","$2,091,840 ",702.0,1564.0,143.0,430.0,143.0,477.0,42.0,155.0,22.0,48.0,23.0,71.0,73.0,178.0,8.0,19.0,14.0,36.0,56.0,170.0,151.0,419.0,4809098.0,53234902.0,4893616.0,53785384.0
2012,2012-2013,14,John Henson,UNC,MIL,"$8,659,181 ","$1,823,280 ","$1,905,360 ","$1,987,320 ",827.0,1856.0,380.0,779.0,31.0,113.0,297.0,497.0,19.0,41.0,0.0,0.0,3.0,1.0,56.0,91.0,105.0,177.0,162.0,344.0,336.0,639.0,-3614839.0,61658839.0,4449476.0,54229524.0
2012,2012-2013,15,Maurice Harkless,St. John's,PHI,"$8,323,699 ","$1,731,960 ","$1,809,840 ","$1,887,840 ",1974.0,1950.0,625.0,592.0,50.0,80.0,335.0,264.0,88.0,97.0,32.0,59.0,117.0,154.0,73.0,85.0,128.0,143.0,260.0,224.0,564.0,483.0,-6323073.0,64367073.0,4898157.0,53780843.0
